conscious-Ness 98,Self 76,Environmentally 76,Freud 70,Instinctive 6
brawny-Muscular 100,Blacksmith 94,Forearm 91,Hairy 91,Apron 7
raspy-Breathing 100,Growl 92,Cough 91,Chuckle 83,Voice 8
mitten-Scarf 100,Knit 100,Sweater 99,Glove 99,Crab 9
hellish-Fiend 100,Inferno 87,Heavenly 81,Demonic 72,Glare 7
mellow-Soften 100,Flavor 87,Liam 74,Sweet 64,Rory 6
terrible-Ordeal 100,Scourge 100,Ivan 100,Calamity 97,Frightful 9
chalk-Sidewalk 100,Cue 95,Slate 90,Pavement 89,Cretaceous 8
hobbies-Gardening 100,Eurasian 97,Collecting 97,Aquarium 85,Pastime 8
low-Fol 100,Conductivity 54,Temperature 50,Voltage 49,Dose 4
acidic-Alkaline 100,Neutral 70,Hydrolysis 69,Ph 66,Anion 6
party-Socialist 100,Communist 95,Janata 95,Democratic 94,Coalition 8
test-Iq 100,Aptitude 92,Standardize 83,Proficiency 80,Hypothesis 8
improve-Efficiency 100,Sanitation 91,Productivity 91,Vastly 87,Reliability 8
thirsty-Hungry 100,Thirst 73,Drink 71,Drink 67,Refreshing 6
bedroom-Bathroom 100,Upstairs 91,Closet 87,Closet 81,Attic 8
wash-Tub 100,Towel 97,Dish 94,Laundry 93,Cleanse 9
thankful-Deliverance 100,Clarkson 85,Spare 81,Giver 80,Humbly 8
untidy-Littered 100,Heap 99,Twig 82,Tangle 82,Hair 8
imagine-Fondly 100,Lennon 99,Imagining 78,Vividly 69,Consternation 5
miss-Ligament 100,Pageant 98,Narrowly 81,Ole 69,Playoff 5
festive-Peel 100,Occasion 96,Cantata 92,Overture 89,Gathering 8
top-Billboard 100,Chart 98,Cupola 96,Peak 96,Cornice 9
lunch-Dine 100,Sandwich 91,Noon 91,Restaurant 85,Afternoon 7
